"Date d'admission","Hors soins intensifs","Aux soins intensifs"
"2022-02-04 00:00:00",47,4
"2022-02-05 00:00:00",25,2
"2022-02-06 00:00:00",32,3
"2022-02-07 00:00:00",32,4
"2022-02-08 00:00:00",25,7
"2022-02-09 00:00:00",24,2
"2022-02-10 00:00:00",22,4
"2022-02-11 00:00:00",23,3
"2022-02-12 00:00:00",21,4
"2022-02-13 00:00:00",18,4
"2022-02-14 00:00:00",21,3
"2022-02-15 00:00:00",11,4
"2022-02-16 00:00:00",17,3
"2022-02-17 00:00:00",15,2
"2022-02-18 00:00:00",18,5
"2022-02-19 00:00:00",18,2
"2022-02-20 00:00:00",16,0
"2022-02-21 00:00:00",15,1
"2022-02-22 00:00:00",18,2
"2022-02-23 00:00:00",20,1
"2022-02-24 00:00:00",16,1
"2022-02-25 00:00:00",12,1
"2022-02-26 00:00:00",8,2
"2022-02-27 00:00:00",7,0
"2022-02-28 00:00:00",14,0
"2022-03-01 00:00:00",17,1
"2022-03-02 00:00:00",17,2
"2022-03-03 00:00:00",17,1
"2022-03-04 00:00:00",15,1
"2022-03-05 00:00:00",14,1
"2022-03-06 00:00:00",8,0
"2022-03-07 00:00:00",10,0
"2022-03-08 00:00:00",24,0
"2022-03-09 00:00:00",15,1
"2022-03-10 00:00:00",16,0
"2022-03-11 00:00:00",20,2
"2022-03-12 00:00:00",5,1
"2022-03-13 00:00:00",5,0
"2022-03-14 00:00:00",9,2
"2022-03-15 00:00:00",17,0
"2022-03-16 00:00:00",19,0
"2022-03-17 00:00:00",23,1
"2022-03-18 00:00:00",11,0
"2022-03-19 00:00:00",9,1
"2022-03-20 00:00:00",13,0
"2022-03-21 00:00:00",14,0
"2022-03-22 00:00:00",16,1
"2022-03-23 00:00:00",20,3
"2022-03-24 00:00:00",15,2
"2022-03-25 00:00:00",22,1
"2022-03-26 00:00:00",18,1
"2022-03-27 00:00:00",21,1
"2022-03-28 00:00:00",28,3
"2022-03-29 00:00:00",16,1
"2022-03-30 00:00:00",27,4
